time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
15.81,0.000000,0.087767,0.000000,-0.023260,2.000000,1.033217,0.000000,0.012734
15.86,0.000000,0.085781,0.000000,-0.020771,2.000000,1.039151,0.000000,0.013145
15.91,0.000000,0.087455,0.000000,-0.022214,2.000000,1.042869,0.000000,0.011499
15.96,0.000000,0.088682,0.000000,-0.023502,2.000000,1.044000,0.000000,0.012865
16.02,0.000000,0.086887,0.000000,-0.021276,2.000000,1.052521,0.000000,0.013120
16.07,0.000000,0.087246,0.000000,-0.020935,2.000000,1.058128,0.000000,0.013264
16.12,0.000000,0.086201,0.000000,-0.022705,2.000000,1.062291,0.000000,0.011697
16.17,0.000000,0.086201,0.000000,-0.022705,2.000000,1.062291,0.000000,0.011697
16.22,0.000000,0.087125,0.000000,-0.022950,2.000000,1.073695,0.000000,0.011819
16.27,0.000000,0.086017,0.000000,-0.021504,2.000000,1.075207,0.000000,0.010752
16.32,0.000000,0.086951,0.000000,-0.021738,2.000000,1.086892,0.000000,0.010869
16.38,0.000000,0.086951,0.000000,-0.021738,2.000000,1.086892,0.000000,0.010869
16.43,0.000000,0.085747,0.000000,-0.023092,2.000000,1.091252,0.000000,0.014783
16.48,0.000000,0.087907,0.000000,-0.021977,2.000000,1.098835,0.000000,0.010989
16.53,0.000000,0.086931,0.000000,-0.020677,2.000000,1.106184,0.000000,0.012509
16.58,0.000000,0.087314,0.000000,-0.020961,2.000000,1.109550,0.000000,0.012693
16.63,0.000000,0.087731,0.000000,-0.023692,2.000000,1.112467,0.000000,0.012267
16.68,0.000000,0.086598,0.000000,-0.022469,2.000000,1.120421,0.000000,0.011183
16.74,0.000000,0.087563,0.000000,-0.022475,2.000000,1.126643,0.000000,0.011289
16.79,0.000000,0.087565,0.000000,-0.019773,2.000000,1.129871,0.000000,0.011299
16.84,0.000000,0.085222,0.000000,-0.022726,2.000000,1.136290,0.000000,0.011363
16.89,0.000000,0.086817,0.000000,-0.023989,2.000000,1.137842,0.000000,0.009744
16.94,0.000000,0.086201,0.000000,-0.022987,2.000000,1.149349,0.000000,0.011494
16.99,0.000000,0.087610,0.000000,-0.021767,2.000000,1.150745,0.000000,0.010094
17.04,0.000000,0.086651,0.000000,-0.019984,2.000000,1.156048,0.000000,0.008711
17.09,0.000000,0.085804,0.000000,-0.021831,2.000000,1.161294,0.000000,0.010094
17.15,0.000000,0.087203,0.000000,-0.023254,2.000000,1.162712,0.000000,0.011627
17.20,0.000000,0.085048,0.000000,-0.023413,2.000000,1.173184,0.000000,0.008511
17.25,0.000000,0.088229,0.000000,-0.023528,2.000000,1.176389,0.000000,0.011764
17.30,0.000000,0.088470,0.000000,-0.020691,2.000000,1.179649,0.000000,0.009186
17.35,0.000000,0.084404,0.000000,-0.022344,2.000000,1.185419,0.000000,0.010283
17.40,0.000000,0.084810,0.000000,-0.022125,2.000000,1.188959,0.000000,0.007395
17.45,0.000000,0.086820,0.000000,-0.020957,2.000000,1.197519,0.000000,0.011975
17.50,0.000000,0.084151,0.000000,-0.021023,2.000000,1.201513,0.000000,0.009176
17.56,0.000000,0.087524,0.000000,-0.024162,2.000000,1.208003,0.000000,0.008843
17.61,0.000000,0.087872,0.000000,-0.021211,2.000000,1.212032,0.000000,0.012121
17.66,0.000000,0.086637,0.000000,-0.019610,2.000000,1.213934,0.000000,0.010914
17.71,0.000000,0.085426,0.000000,-0.021598,2.000000,1.219434,0.000000,0.009105
17.76,0.000000,0.085829,0.000000,-0.021213,2.000000,1.226968,0.000000,0.009244
17.81,0.000000,0.086224,0.000000,-0.021541,2.000000,1.231103,0.000000,0.009404
17.86,0.000000,0.086224,0.000000,-0.021541,2.000000,1.231103,0.000000,0.009404
17.91,0.000000,0.086895,0.000000,-0.021473,2.000000,1.242209,0.000000,0.009360
17.97,0.000000,0.086895,0.000000,-0.021473,2.000000,1.242209,0.000000,0.009360
18.02,0.000000,0.086251,0.000000,-0.020489,2.000000,1.251945,0.000000,0.008081
18.07,0.000000,0.087987,0.000000,-0.021740,2.000000,1.257834,0.000000,0.009479
18.12,0.000000,0.086659,0.000000,-0.023405,2.000000,1.259666,0.000000,0.010788
18.17,0.000000,0.085441,0.000000,-0.022151,2.000000,1.265797,0.000000,0.006329
18.22,0.000000,0.087347,0.000000,-0.020752,2.000000,1.267816,0.000000,0.008186
18.27,0.000000,0.086537,0.000000,-0.022435,2.000000,1.282025,0.000000,0.006410
18.32,0.000000,0.086537,0.000000,-0.022435,2.000000,1.282025,0.000000,0.006410
18.37,0.000000,0.085220,0.000000,-0.024123,2.000000,1.283921,0.000000,0.007746
18.43,0.000000,0.087090,0.000000,-0.022579,2.000000,1.290215,0.000000,0.012903
18.48,0.000000,0.085814,0.000000,-0.021244,2.000000,1.296644,0.000000,0.008346
18.53,0.000000,0.083316,0.000000,-0.021033,2.000000,1.305347,0.000000,0.008119
18.58,0.000000,0.086496,0.000000,-0.021177,2.000000,1.308961,0.000000,0.008260
18.63,0.000000,0.084980,0.000000,-0.023026,2.000000,1.311502,0.000000,0.006533
18.68,0.000000,0.086940,0.000000,-0.021525,2.000000,1.313679,0.000000,0.008458
18.73,0.000000,0.084419,0.000000,-0.021309,2.000000,1.322615,0.000000,0.008226
18.78,0.000000,0.087639,0.000000,-0.021456,2.000000,1.326317,0.000000,0.008371
18.84,0.000000,0.086106,0.000000,-0.023333,2.000000,1.328932,0.000000,0.006619
18.89,0.000000,0.087247,0.000000,-0.023337,2.000000,1.337698,0.000000,0.006716
18.94,0.000000,0.087246,0.000000,-0.020134,2.000000,1.342252,0.000000,0.006711
18.99,0.000000,0.087246,0.000000,-0.020134,2.000000,1.342252,0.000000,0.006711
19.04,0.000000,0.084458,0.000000,-0.023648,2.000000,1.351321,0.000000,0.006757
19.09,0.000000,0.084458,0.000000,-0.023648,2.000000,1.351321,0.000000,0.006757
19.14,0.000000,0.088433,0.000000,-0.020408,2.000000,1.360513,0.000000,0.006803
19.19,0.000000,0.085614,0.000000,-0.023972,2.000000,1.369831,0.000000,0.006849
19.24,0.000000,0.085614,0.000000,-0.023972,2.000000,1.369831,0.000000,0.006849
19.29,0.000000,0.087285,0.000000,-0.022512,2.000000,1.371797,0.000000,0.005174
19.35,0.000000,0.082757,0.000000,-0.020689,2.000000,1.379278,0.000000,0.006896
19.40,0.000000,0.086803,0.000000,-0.024305,2.000000,1.388855,0.000000,0.006944
19.45,0.000000,0.086803,0.000000,-0.024305,2.000000,1.388855,0.000000,0.006944
19.50,0.000000,0.085380,0.000000,-0.019079,2.000000,1.396257,0.000000,0.005543
19.55,0.000000,0.083914,0.000000,-0.020979,2.000000,1.398567,0.000000,0.006993
19.60,0.000000,0.088026,0.000000,-0.024647,2.000000,1.408416,0.000000,0.007042
19.65,0.000000,0.086880,0.000000,-0.023149,2.000000,1.415398,0.000000,0.005371
19.70,0.000000,0.085104,0.000000,-0.021276,2.000000,1.418404,0.000000,0.007092
19.75,0.000000,0.085104,0.000000,-0.021276,2.000000,1.418404,0.000000,0.007092
19.81,0.000000,0.083450,0.000000,-0.023247,2.000000,1.421344,0.000000,0.005222
19.86,0.000000,0.085935,0.000000,-0.025061,2.000000,1.433087,0.000000,0.003316
19.91,0.000000,0.086329,0.000000,-0.021582,2.000000,1.438812,0.000000,0.007194
19.96,0.000000,0.086329,0.000000,-0.021582,2.000000,1.438812,0.000000,0.007194
20.01,0.000000,0.083090,0.000000,-0.021680,2.000000,1.444532,0.000000,0.003778
20.06,0.000000,0.081570,0.000000,-0.023578,2.000000,1.446995,0.000000,0.005339
20.11,0.000000,0.085372,0.000000,-0.023570,2.000000,1.457093,0.000000,0.005169
20.16,0.000000,0.086089,0.000000,-0.019982,2.000000,1.462550,0.000000,0.005834
20.21,0.000000,0.084560,0.000000,-0.021902,2.000000,1.465088,0.000000,0.007353
20.27,0.000000,0.084643,0.000000,-0.022367,2.000000,1.470536,0.000000,0.003628
20.32,0.000000,0.083044,0.000000,-0.020207,2.000000,1.478847,0.000000,0.005861
20.37,0.000000,0.083044,0.000000,-0.020207,2.000000,1.478847,0.000000,0.005861
20.42,0.000000,0.084006,0.000000,-0.024281,2.000000,1.490127,0.000000,0.005496
20.47,0.000000,0.085908,0.000000,-0.022705,2.000000,1.492482,0.000000,0.003680
20.52,0.000000,0.085908,0.000000,-0.022705,2.000000,1.492482,0.000000,0.003680
20.57,0.000000,0.084289,0.000000,-0.020508,2.000000,1.501045,0.000000,0.005954
20.62,0.000000,0.084807,0.000000,-0.024212,2.000000,1.506408,0.000000,0.005376
20.67,0.000000,0.084965,0.000000,-0.024784,2.000000,1.512118,0.000000,0.001533
20.73,0.000000,0.085576,0.000000,-0.021060,2.000000,1.518060,0.000000,0.002205
20.78,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.83,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.88,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.93,0.000000,0.084615,0.000000,-0.023077,2.000000,1.538462,0.000000,0.000000
20.98,0.000000,0.081096,0.000000,-0.023124,2.000000,1.544676,0.000000,0.003535
21.03,0.000000,0.085269,0.000000,-0.023255,2.000000,1.550341,0.000000,0.007752
21.08,0.000000,0.085549,0.000000,-0.019491,2.000000,1.555947,0.000000,0.004362
21.13,0.000000,0.085549,0.000000,-0.019491,2.000000,1.555947,0.000000,0.004362
21.19,0.000000,0.085938,0.000000,-0.023438,2.000000,1.562500,0.000000,0.000000
21.24,0.000000,0.082368,0.000000,-0.023486,2.000000,1.568911,0.000000,0.003588
21.29,0.000000,0.084213,0.000000,-0.025435,2.000000,1.571568,0.000000,0.005578
21.34,0.000000,0.086899,0.000000,-0.019800,2.000000,1.580529,0.000000,0.004441
21.39,0.000000,0.086899,0.000000,-0.019800,2.000000,1.580529,0.000000,0.004441
21.44,0.000000,0.083433,0.000000,-0.024138,2.000000,1.587236,0.000000,0.003918
21.49,0.000000,0.083681,0.000000,-0.023859,2.000000,1.593919,0.000000,0.003643
21.54,0.000000,0.081955,0.000000,-0.021785,2.000000,1.597276,0.000000,0.001937
21.60,0.000000,0.083920,0.000000,-0.023672,2.000000,1.600033,0.000000,0.004051
21.65,0.000000,0.086703,0.000000,-0.022308,2.000000,1.608943,0.000000,0.006097
21.70,0.000000,0.084781,0.000000,-0.024533,2.000000,1.612833,0.000000,0.003979
21.75,0.000000,0.082802,0.000000,-0.022382,2.000000,1.616631,0.000000,0.005948
21.80,0.000000,0.081030,0.000000,-0.020258,2.000000,1.619990,0.000000,0.004210
21.85,0.000000,0.085284,0.000000,-0.024052,2.000000,1.626052,0.000000,0.004118
21.90,0.000000,0.085607,0.000000,-0.024456,2.000000,1.631837,0.000000,0.003747
21.95,0.000000,0.081967,0.000000,-0.024590,2.000000,1.639344,0.000000,0.000000
22.01,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.06,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.11,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.16,0.000000,0.087023,0.000000,-0.024860,2.000000,1.658890,0.000000,0.003801
22.21,0.000000,0.085346,0.000000,-0.022612,2.000000,1.662530,0.000000,0.002232
22.26,0.000000,0.085346,0.000000,-0.022612,2.000000,1.662530,0.000000,0.002232
22.31,0.000000,0.081309,0.000000,-0.022882,2.000000,1.670696,0.000000,0.001997
22.36,0.000000,0.079507,0.000000,-0.025057,2.000000,1.673908,0.000000,0.003850
22.41,0.000000,0.084131,0.000000,-0.021360,2.000000,1.680603,0.000000,0.004146
22.47,0.000000,0.084327,0.000000,-0.021137,2.000000,1.687196,0.000000,0.004753
22.52,0.000000,0.086792,0.000000,-0.022988,2.000000,1.690621,0.000000,0.002274
22.57,0.000000,0.082690,0.000000,-0.023271,2.000000,1.699089,0.000000,0.002029
22.62,0.000000,0.080860,0.000000,-0.025482,2.000000,1.702404,0.000000,0.003914
22.67,0.000000,0.083057,0.000000,-0.023702,2.000000,1.705514,0.000000,0.001738
22.72,0.000000,0.083703,0.000000,-0.019497,2.000000,1.713080,0.000000,0.002480
22.77,0.000000,0.085772,0.000000,-0.021501,2.000000,1.716135,0.000000,0.004847
22.83,0.000000,0.085772,0.000000,-0.021501,2.000000,1.716135,0.000000,0.004847
22.88,0.000000,0.079900,0.000000,-0.023915,2.000000,1.728354,0.000000,0.006358
22.93,0.000000,0.082260,0.000000,-0.025922,2.000000,1.731886,0.000000,0.003979
22.98,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.03,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.08,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.13,0.000000,0.084607,0.000000,-0.023789,2.000000,1.742331,0.000000,0.002301
23.18,0.000000,0.083330,0.000000,-0.021929,2.000000,1.754318,0.000000,0.008772
